num_nodes,packet_loss,run_id,converged,total_messages,true_mean,final_consensus_mean,mean_relative_error,within_5pct_of_true,remaining_mass,mass_loss_pct
4,0.05,12,True,69,46.25,46.2500048469081,9.6650888287292e-07,True,185.0,0.0
4,0.05,13,True,73,63.75,63.75001791917951,3.205193999772915e-06,True,255.0,0.0
4,0.05,14,True,65,54.0,53.99994527182557,5.7900665945090876e-06,True,216.0,0.0
4,0.05,15,True,77,28.25,28.25000122332871,3.867379986363489e-07,True,113.0,0.0
4,0.05,16,True,73,42.0,41.99980443156466,1.0320053002684421e-05,True,168.0,0.0
4,0.05,17,True,74,57.25,57.24994420925255,1.2647495675616786e-06,True,229.0,0.0
4,0.05,18,True,73,66.25,66.25074203792826,1.4672135302175603e-05,True,265.0,0.0
4,0.05,19,True,75,42.25,42.25023470206524,7.349391046982782e-06,True,169.0,0.0
4,0.05,20,True,61,56.25,56.24995564075935,2.3955898166150292e-06,True,225.0,0.0
4,0.05,21,True,63,58.25,58.25048624751307,8.347596790901736e-06,True,233.0,0.0
4,0.05,22,True,60,36.0,35.99993760891762,4.091717748424787e-06,True,144.0,0.0
4,0.05,23,True,67,53.25,53.2499979157262,1.9120264506159293e-07,True,213.0,0.0
4,0.05,24,True,81,48.75,48.750040514225475,8.310610353462903e-07,True,195.0,0.0
4,0.05,25,True,78,58.0,58.00058954004166,2.500719538308162e-05,True,232.0,0.0
4,0.05,26,True,92,39.25,39.250079828052264,3.3828570265524544e-06,True,157.0,0.0
4,0.05,27,True,68,58.75,58.7499823139987,4.798668985199099e-07,True,235.0,0.0
4,0.05,28,True,79,33.0,32.999788908223834,6.396720489864162e-06,True,132.0,0.0
4,0.05,29,True,60,73.75,73.74982879975053,2.3213593148269006e-06,True,295.0,0.0
4,0.05,30,True,70,56.5,56.500059395321536,8.640855088628494e-06,True,226.0,0.0
4,0.05,31,True,62,36.25,36.25000295290217,1.8525219866009576e-06,True,145.0,0.0
4,0.05,32,True,125,39.5,39.50095286781884,2.412323592006093e-05,True,158.0,0.0
4,0.05,33,True,58,78.75,78.75010593080624,1.5815024363789797e-06,True,315.0,0.0
4,0.05,34,True,68,55.25,55.24981824074672,3.289760240462674e-06,True,221.0,0.0
4,0.05,35,True,85,48.25,48.24882916600594,2.4265989514190793e-05,True,193.0,0.0
4,0.05,36,True,83,61.5,61.500001954608024,2.794318769766862e-06,True,246.0,0.0
4,0.05,37,True,69,46.25,46.249963158802906,1.0378802053033675e-06,True,185.0,0.0
4,0.05,38,True,87,35.25,35.250037271032504,1.2348724647773317e-05,True,141.0,0.0
4,0.05,39,True,91,52.75,52.75010159541147,1.92597936433138e-06,True,210.99999999999994,2.220446049250313e-14
4,0.05,40,True,67,45.75,45.74999983060228,1.225451484210332e-07,True,183.0,0.0
4,0.05,41,True,58,80.25,80.25009583750354,3.493925980823309e-06,True,321.0,0.0
4,0.05,42,True,86,59.0,59.00811950206173,0.00013761867901233827,True,236.0,0.0
4,0.05,43,True,75,49.5,49.50000231837551,1.192950087266464e-06,True,198.0,0.0
4,0.05,44,True,71,50.25,50.248315421586504,3.352394852735001e-05,True,201.0,0.0
4,0.05,45,True,72,46.75,46.749987936110095,4.669456374170704e-07,True,187.0,0.0
4,0.05,46,True,84,67.75,67.75000071793244,1.2234118143642533e-07,True,271.0,0.0
4,0.05,47,True,79,56.75,56.75246669472988,4.3465986429586564e-05,True,227.0,0.0
4,0.05,48,True,101,69.0,68.99998082529359,8.445275555980852e-07,True,276.0,0.0
